filename,sigma
0327.png,20.02
0328.png,32.72
0329.png,34.58
0330.png,36.29
0331.png,10.17
0332.png,20.08
0333.png,41.99
0334.png,6.63
0335.png,5.3
0336.png,33.44
0337.png,40.31
0338.png,20.2
0339.png,24.85
0340.png,20.48
0341.png,30.22
0342.png,12.63
0343.png,38.37
0344.png,44.65
0345.png,18.48
0346.png,24.78
0347.png,6.5
0348.png,41.04
0349.png,48.64
0350.png,19.69
0351.png,43.25
0352.png,21.67
0353.png,40.34
0354.png,8.65
0355.png,20.81
0356.png,37.98
0357.png,45.09
0358.png,39.57
0359.png,24.49
0360.png,14.9
0361.png,20.33
0362.png,24.68
0363.png,34.32
0364.png,10.19
0365.png,22.67
0366.png,35.56
0367.png,19.97
0368.png,8.34
0369.png,20.05
0370.png,24.9
0371.png,38.37
0372.png,36.74
0373.png,38.46
0374.png,12.93
0375.png,8.6
0376.png,26.99
0377.png,39.78
0378.png,13.11
0379.png,14.74
0380.png,22.94
0381.png,35.73
0382.png,44.17
0383.png,25.42
0384.png,5.62
0385.png,15.44
0386.png,20.92
0387.png,47.91
0388.png,8.77
0389.png,43.78
0390.png,23.23
0391.png,8.12
0392.png,10.56
0393.png,30.05
0394.png,8.78
0395.png,30.1
0396.png,20.65
0397.png,41.08
0398.png,17.91
0399.png,7.52
0400.png,22.66
0401.png,30.47
0402.png,18.3
0403.png,18.49
0404.png,37.67
0405.png,19.51
0406.png,13.93
0407.png,35.62
0408.png,26.57
0409.png,43.4
0410.png,40.24
0411.png,7.25
0412.png,48.99
0413.png,24.09
0414.png,42.52
0415.png,23.68
0416.png,19.85
0417.png,44.2
0418.png,30.02
0419.png,47.33
0420.png,24.34
0421.png,19.12
0422.png,18.76
0423.png,8.84
0424.png,45.07
0425.png,30.37
0426.png,32.31
0427.png,13.11
0428.png,26.06
0429.png,41.53
0430.png,30.91
0431.png,15.91
0432.png,25.17
0433.png,19.1
0434.png,26.27
0435.png,32.52
0436.png,25.98
0437.png,28.3
0438.png,31.93
0439.png,37.23
0440.png,10.55
0441.png,44.24
0442.png,46.71
0443.png,20.85
0444.png,46.64
0445.png,25.0
0446.png,18.88
0447.png,13.25
0448.png,13.91
0449.png,18.09
0450.png,17.65
0451.png,33.87
0452.png,31.87
0453.png,45.02
0454.png,16.77
0455.png,23.6
0456.png,32.71
0457.png,45.12
0458.png,47.32
0459.png,24.9
0460.png,6.08
0461.png,36.17
0462.png,37.77
0463.png,43.83
0464.png,31.9
0465.png,6.14
0466.png,14.14
0467.png,11.56
0468.png,34.03
0469.png,41.91
0470.png,45.4
0471.png,15.08
0472.png,26.94
0473.png,25.39
0474.png,34.85
0475.png,39.68
0476.png,20.22
0477.png,25.38
0478.png,46.48
0479.png,35.42
0480.png,12.44
0481.png,32.14
0482.png,27.45
0483.png,37.34
0484.png,12.88
0485.png,33.16
0486.png,42.85
0487.png,37.57
0488.png,35.08
0489.png,39.29
0490.png,35.45
0491.png,20.01
0492.png,22.15
0493.png,49.78
0494.png,37.04
0495.png,8.83
0496.png,13.12
0497.png,21.19
0498.png,8.01
0499.png,37.39
0500.png,38.86
0501.png,11.92
0502.png,23.69
0503.png,47.49
0504.png,8.36
0505.png,43.67
0506.png,25.52
0507.png,48.4
0508.png,25.7
0509.png,8.53
0510.png,46.29
0511.png,15.93
0512.png,41.68
0513.png,5.63
0514.png,44.26
0515.png,10.59
0516.png,18.87
0517.png,41.44
0518.png,42.09
0519.png,45.26
0520.png,41.16
0521.png,13.83
0522.png,46.21
0523.png,44.99
0524.png,28.73
0525.png,9.11
0526.png,41.82
0527.png,26.52
0528.png,23.72
0529.png,15.59
0530.png,31.83
0531.png,17.89
0532.png,37.13
0533.png,31.4
0534.png,17.74
0535.png,15.67
0536.png,33.04
0537.png,20.29
0538.png,5.54
0539.png,6.37
0540.png,47.23
0541.png,19.88
0542.png,40.8
0543.png,39.63
0544.png,39.18
0545.png,11.68
0546.png,34.21
0547.png,46.1
0548.png,14.62
0549.png,38.56
0550.png,35.78
0551.png,41.71
0552.png,40.1
0553.png,12.27
0554.png,27.78
0555.png,15.43
0556.png,27.57
0557.png,22.95
0558.png,24.25
0559.png,39.27
0560.png,46.34
0561.png,30.06
0562.png,46.37
0563.png,5.93
0564.png,15.02
0565.png,35.8
0566.png,47.25
0567.png,33.6
0568.png,38.27
0569.png,18.66
0570.png,15.28
0571.png,20.64
0572.png,33.72
0573.png,27.2
0574.png,17.66
0575.png,29.55
0576.png,32.17
0577.png,15.77
0578.png,5.15
0579.png,30.16
0580.png,7.0
0581.png,12.98
0582.png,13.55
0583.png,43.79
0584.png,37.25
0585.png,43.38
0586.png,27.5
0587.png,7.37
0588.png,37.07
0589.png,38.76
0590.png,13.95
0591.png,25.47
0592.png,28.1
0593.png,12.86
0594.png,20.38
0595.png,36.48
0596.png,30.81
0597.png,45.03
0598.png,42.36
0599.png,5.93
0600.png,35.25
0601.png,6.04
0602.png,38.11
0603.png,34.94
0604.png,23.57
0605.png,44.66
0606.png,49.11
0607.png,40.97
0608.png,9.64
0609.png,32.05
0610.png,29.54
0611.png,30.66
0612.png,17.51
0613.png,16.25
0614.png,19.61
0615.png,8.25
0616.png,30.72
0617.png,15.2
0618.png,39.92
0619.png,19.33
0620.png,36.42
0621.png,46.4
0622.png,34.31
0623.png,7.85
0624.png,25.83
0625.png,32.67
0626.png,13.68
0627.png,6.38
0628.png,19.93
0629.png,14.53
0630.png,28.78
0631.png,21.61
0632.png,28.9
0633.png,26.84
0634.png,18.17
0635.png,40.92
0636.png,47.09
0637.png,34.41
0638.png,9.19
0639.png,5.8
0640.png,23.52
0641.png,32.53
0642.png,40.35
0643.png,47.39
0644.png,49.82
0645.png,26.56
0646.png,29.12
0647.png,37.02
0648.png,7.11
0649.png,30.0
0650.png,9.78
0651.png,46.92
0652.png,12.43
0653.png,43.4
0654.png,18.79
0655.png,32.67
0656.png,13.99
0657.png,11.43
0658.png,48.51
0659.png,25.01
0660.png,12.67
0661.png,18.9
0662.png,16.39
0663.png,45.69
0664.png,15.74
0665.png,43.08
0666.png,32.63
0667.png,19.92
0668.png,8.92
0669.png,39.73
0670.png,27.73
0671.png,47.07
0672.png,19.79
0673.png,30.22
0674.png,29.19
0675.png,27.53
0676.png,43.41
0677.png,13.86
0678.png,16.94
0679.png,33.55
0680.png,13.73
0681.png,34.77
0682.png,15.09
0683.png,6.2
0684.png,9.6
0685.png,23.25
0686.png,26.12
0687.png,42.62
0688.png,38.67
0689.png,20.61
0690.png,14.64
0691.png,25.59
0692.png,47.61
0693.png,41.49
0694.png,21.08
0695.png,23.59
0696.png,40.29
0697.png,8.87
0698.png,9.98
0699.png,38.11
0700.png,34.24
0701.png,46.32
0702.png,22.82
0703.png,20.5
0704.png,31.52
0705.png,33.82
0706.png,18.26
0707.png,19.55
0708.png,22.23
0709.png,28.91
0710.png,14.5
0711.png,27.97
0712.png,40.38
0713.png,31.91
0714.png,26.4
0715.png,11.72
0716.png,45.2
0717.png,33.66
0718.png,41.95
0719.png,41.21
0720.png,48.53
0721.png,48.79
0722.png,9.99
0723.png,10.56
0724.png,47.06
0725.png,44.26
0726.png,15.66
0727.png,34.39
0728.png,42.25
0729.png,37.3
0730.png,12.33
0731.png,27.13
0732.png,18.45
0733.png,26.19
0734.png,15.02
0735.png,39.15
0736.png,42.52
0737.png,32.14
0738.png,33.18
0739.png,6.98
0740.png,45.41
0741.png,37.27
0742.png,48.86
0743.png,36.85
0744.png,28.07
0745.png,5.93
0746.png,47.88
0747.png,10.9
0748.png,21.66
0749.png,45.36
0750.png,45.52
0751.png,41.24
0752.png,27.13
0753.png,47.04
0754.png,26.76
0755.png,22.02
0756.png,36.17
0757.png,46.33
0758.png,40.45
0759.png,43.77
0760.png,45.89
0761.png,14.58
0762.png,26.3
0763.png,40.94
0764.png,48.36
0765.png,31.29
0766.png,10.1
0767.png,14.88
0768.png,41.16
0769.png,34.94
0770.png,29.19
0771.png,15.13
0772.png,15.49
0773.png,14.94
0774.png,14.92
0775.png,45.74
0776.png,27.77
0777.png,41.05
0778.png,37.75
0779.png,46.86
0780.png,9.5
0781.png,19.3
0782.png,42.09
0783.png,11.06
0784.png,7.63
0785.png,15.2
0786.png,47.9
0787.png,46.3
0788.png,7.95
0789.png,34.98
0790.png,11.42
0791.png,39.17
0792.png,36.15
0793.png,42.96
0794.png,46.46
0795.png,27.49
0796.png,48.23
0797.png,20.81
0798.png,28.33
0799.png,37.19
0800.png,46.4
